"ticker","company","sector","url"
"RRD","Donnelley (R.R.)  Sons","Industrials","http://finance.yahoo.com/q?s=RRD"
"DOV","Dover Corp.","Industrials","http://finance.yahoo.com/q?s=DOV"
"DOW","Dow Chemical","Materials","http://finance.yahoo.com/q?s=DOW"
"DPS","Dr Pepper Snapple Group","Consumer Staples","http://finance.yahoo.com/q?s=DPS"
"DTE","DTE Energy Co.","Utilities","http://finance.yahoo.com/q?s=DTE"
"DD","Du Pont (E.I.)","Materials","http://finance.yahoo.com/q?s=DD"
"DUK","Duke Energy","Utilities","http://finance.yahoo.com/q?s=DUK"
"DNB","Dun  Bradstreet","Industrials","http://finance.yahoo.com/q?s=DNB"
"ETFC","E-Trade","Financials","http://finance.yahoo.com/q?s=ETFC"
"EMN","Eastman Chemical","Materials","http://finance.yahoo.com/q?s=EMN"
"ETN","Eaton Corp.","Industrials","http://finance.yahoo.com/q?s=ETN"
"EBAY","eBay Inc.","Information Technology","http://finance.yahoo.com/q?s=EBAY"
"ECL","Ecolab Inc.","Materials","http://finance.yahoo.com/q?s=ECL"
"EIX","Edison Int'l","Utilities","http://finance.yahoo.com/q?s=EIX"
"EW","Edwards Lifesciences","Health Care","http://finance.yahoo.com/q?s=EW"
"EA","Electronic Arts","Information Technology","http://finance.yahoo.com/q?s=EA"
"EMC","EMC Corp.","Information Technology","http://finance.yahoo.com/q?s=EMC"
"EMR","Emerson Electric","Industrials","http://finance.yahoo.com/q?s=EMR"
"ETR","Entergy Corp.","Utilities","http://finance.yahoo.com/q?s=ETR"
"EOG","EOG Resources","Energy","http://finance.yahoo.com/q?s=EOG"
"EQT","EQT Corporation","Utilities","http://finance.yahoo.com/q?s=EQT"
"EFX","Equifax Inc.","Financials","http://finance.yahoo.com/q?s=EFX"
"EQR","Equity Residential","Financials","http://finance.yahoo.com/q?s=EQR"
"EL","Estee Lauder Cos.","Consumer Staples","http://finance.yahoo.com/q?s=EL"
"EXC","Exelon Corp.","Utilities","http://finance.yahoo.com/q?s=EXC"
"EXPE","Expedia Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=EXPE"
"EXPD","Expeditors Int'l","Industrials","http://finance.yahoo.com/q?s=EXPD"
"ESRX","Express Scripts","Health Care","http://finance.yahoo.com/q?s=ESRX"
"XOM","Exxon Mobil Corp.","Energy","http://finance.yahoo.com/q?s=XOM"
"FFIV","F5 Networks","Information Technology","http://finance.yahoo.com/q?s=FFIV"
"FDO","Family Dollar Stores","Consumer Discretionary","http://finance.yahoo.com/q?s=FDO"
"FAST","Fastenal Co","Industrials","http://finance.yahoo.com/q?s=FAST"
"FII","Federated Investors Inc.","Financials","http://finance.yahoo.com/q?s=FII"
"FDX","FedEx Corporation","Industrials","http://finance.yahoo.com/q?s=FDX"
"FIS","Fidelity National Information Services","Information Technology","http://finance.yahoo.com/q?s=FIS"
"FITB","Fifth Third Bancorp","Financials","http://finance.yahoo.com/q?s=FITB"
"FHN","First Horizon National","Financials","http://finance.yahoo.com/q?s=FHN"
"FSLR","First Solar Inc","Industrials","http://finance.yahoo.com/q?s=FSLR"
"FE","FirstEnergy Corp","Utilities","http://finance.yahoo.com/q?s=FE"
"FISV","Fiserv Inc","Information Technology","http://finance.yahoo.com/q?s=FISV"
"FLIR","FLIR Systems","Information Technology","http://finance.yahoo.com/q?s=FLIR"
"FLS","Flowserve Corporation","Industrials","http://finance.yahoo.com/q?s=FLS"
"FLR","Fluor Corp.","Industrials","http://finance.yahoo.com/q?s=FLR"
"FMC","FMC Corporation","Materials","http://finance.yahoo.com/q?s=FMC"
"FTI","FMC Technologies Inc.","Energy","http://finance.yahoo.com/q?s=FTI"
"F","Ford Motor","Consumer Discretionary","http://finance.yahoo.com/q?s=F"
"FRX","Forest Laboratories","Health Care","http://finance.yahoo.com/q?s=FRX"
"FOSL","Fossil, Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=FOSL"
"BEN","Franklin Resources","Financials","http://finance.yahoo.com/q?s=BEN"
"FCX","Freeport-McMoran Cp  Gld","Materials","http://finance.yahoo.com/q?s=FCX"
"FTR","Frontier Communications","Telecommunications Services","http://finance.yahoo.com/q?s=FTR"
"GME","GameStop Corp.","Consumer Discretionary","http://finance.yahoo.com/q?s=GME"
"GCI","Gannett Co.","Consumer Discretionary","http://finance.yahoo.com/q?s=GCI"
"GPS","Gap (The)","Consumer Discretionary","http://finance.yahoo.com/q?s=GPS"
"GD","General Dynamics","Industrials","http://finance.yahoo.com/q?s=GD"
"GE","General Electric","Industrials","http://finance.yahoo.com/q?s=GE"
"GIS","General Mills","Consumer Staples","http://finance.yahoo.com/q?s=GIS"
"GPC","Genuine Parts","Consumer Discretionary","http://finance.yahoo.com/q?s=GPC"
"GNW","Genworth Financial Inc.","Financials","http://finance.yahoo.com/q?s=GNW"
"GILD","Gilead Sciences","Health Care","http://finance.yahoo.com/q?s=GILD"
"GS","Goldman Sachs Group","Financials","http://finance.yahoo.com/q?s=GS"
"GR","Goodrich Corporation","Industrials","http://finance.yahoo.com/q?s=GR"
"GT","Goodyear Tire  Rubber","Consumer Discretionary","http://finance.yahoo.com/q?s=GT"
"GOOG","Google Inc.","Information Technology","http://finance.yahoo.com/q?s=GOOG"
"GWW","Grainger (W.W.) Inc.","Industrials","http://finance.yahoo.com/q?s=GWW"
"HAL","Halliburton Co.","Energy","http://finance.yahoo.com/q?s=HAL"
"HOG","Harley-Davidson","Consumer Discretionary","http://finance.yahoo.com/q?s=HOG"
"HAR","Harman Int'l Industries","Consumer Discretionary","http://finance.yahoo.com/q?s=HAR"
"HRS","Harris Corporation","Information Technology","http://finance.yahoo.com/q?s=HRS"
"HIG","Hartford Financial Svc.Gp.","Financials","http://finance.yahoo.com/q?s=HIG"
"HAS","Hasbro Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=HAS"
"HCP","HCP Inc.","Financials","http://finance.yahoo.com/q?s=HCP"
"HCN","Health Care REIT","Financials","http://finance.yahoo.com/q?s=HCN"
"HNZ","Heinz (H.J.)","Consumer Staples","http://finance.yahoo.com/q?s=HNZ"
"HP","Helmerich  Payne","Energy","http://finance.yahoo.com/q?s=HP"
"HES","Hess Corporation","Energy","http://finance.yahoo.com/q?s=HES"
"HPQ","Hewlett-Packard","Information Technology","http://finance.yahoo.com/q?s=HPQ"
"HD","Home Depot","Consumer Discretionary","http://finance.yahoo.com/q?s=HD"
"HON","Honeywell Int'l Inc.","Industrials","http://finance.yahoo.com/q?s=HON"
"HRL","Hormel Foods Corp.","Consumer Staples","http://finance.yahoo.com/q?s=HRL"
