what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736685336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736688934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736689589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736691497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342736699040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342736707791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736708092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736764845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342736769413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342736769917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736773620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736862029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736865364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736868852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736870572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736871395
error,log,,,"Internal Error",1342736871482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342736876290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342736883124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342737342240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342737343335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342737403704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342737413567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342737413996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342737428705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342737430634
