what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741426896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741429032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741431200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342741431783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342741432365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342741432806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342741433261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342741433805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342741434547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741435483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741579971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342741583590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741583995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741587514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741589689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741592372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741594722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741595662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342741607093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741607968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342741621539
