what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342742655244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1342742657731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342742658010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742658927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742938041
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342742944250
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342742944250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742945835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742951711
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342742951790
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342742951829
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1342742951832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742957667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742969297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742970210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742974866
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342742976040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342742983077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342742999949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342742999978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342743005994
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342743007418
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1342743023832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342743024020
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1342743037993
