what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746674862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746675242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746675648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746676093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746676506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342746677017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746677497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746680926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746683439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342746683459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746709421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746710947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746711438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746711911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342746711951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746714660
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342746716272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746716679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342746716717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746724070
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342746724638
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342746724639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1342746724651
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342746726665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746727093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342746727135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746730643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.cocoa.closeDialog",1342746730646
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342746731940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746732333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342746732378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746737125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746743178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746744330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342746744487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746745768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746756276
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342746758462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746759392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342746759430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746789855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342746794285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342746795732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746797164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746935663
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342746937913
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342746938677
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342746939660
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342746940768
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342746941455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746942188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746942590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746943021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746943397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342746943689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746944082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746948517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746967684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342746978997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746979596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746980072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746980746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342746981240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342746981950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342746983251
