what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739487180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739502501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739505523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739506708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739507798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739512086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739518102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739527439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739534115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739537821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739541466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739542709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739543561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739566265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739568376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739571974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739577524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739583133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1342739601604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739601947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342739606494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739606954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1342739608126
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.format",1342739608770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739609542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342739611953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739612650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739623851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342739630723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342739632031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739634305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739640385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739643178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739650911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739656057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739675520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739680632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739683856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739702474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739704805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739707607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739714055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739716592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739717836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739727208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739728876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739779929
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739788708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739788953
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739793578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739793836
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342739823432
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342739824757
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342739825618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739827150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739829558
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342739829635
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342739829701
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1342739829707
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342739841942
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739847638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739848284
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739851670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739851891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739885121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739887921
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739888780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739894841
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739921427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739929112
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342739943862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739944061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739944362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739947124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739956911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739957289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739958317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739964166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739965775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739966130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739981171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342739984486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342739984849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740053452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740056184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740057982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342740063267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740068227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740073214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342740073530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342740074626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740078655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740121797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740122428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740125743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342740130033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740133107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740141718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342740144160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740144451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740145323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740146486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342740149797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342740151528
